isin,year,Return_n,Return_n+1,country,new_industry,exchange,fte_category,cap_category,businessClass,Total Revenue,Total Revenue : Annual Variation,Net Income,Net Income : Annual Variation,EBITDA,EBITDA : Annual Variation,Basic EPS,Basic EPS : Annual Variation,Operating Cash Flow,Operating Cash Flow : Annual Variation,Free Cash Flow,Free Cash Flow : Annual Variation,Total Assets,Total Assets : Annual Variation,Long Term Debt,Long Term Debt : Annual Variation,Total Liabilities Net Minority Interest,Total Liabilities Net Minority Interest : Annual Variation,Stockholders Equity,Stockholders Equity : Annual Variation
BE0003880979,2021,0.3132530786697305,-0.0630631095044708,1.0,20.0,2.0,2.0,2.0,6.0,17689000.0,0.3647866676953938,653000.0,8.893939393939394,2696000.0,0.3333333333333333,0.029,9.000000000000002,2341000.0,-0.3629931972789115,1422000.0,-0.500351370344343,36276000.0,-0.0236576503835284,495000.0,0.2375,8384000.0,-0.154497781363453,27892000.0,0.0239729799184992
PLKGHM000017,2022,-0.0724510818842193,,12.0,1.0,33.0,4.0,3.0,0.0,7824810430.922878,0.135691037814985,1103199556.1309414,-0.2248213125406107,2026770852.5984836,-0.1281821797931583,5.515997780654708,-0.2248213125406108,569631958.5722213,-0.4224097515236755,-385611244.6828186,-5.93491124260355,12355280192.34326,0.112790721885606,1054189014.2407991,-0.0695776372168945,4923710005.548364,0.019579683086792,7418392824.116886,0.1864601050062856
PLKGHM000017,2021,-0.2437958970405014,-0.0724510818842193,12.0,1.0,33.0,4.0,3.0,0.0,6889911226.188275,0.2611289776574136,1423155169.2250788,2.42,2324764194.5626044,1.0674342105263157,7.115775846125394,2.42,986221564.6384318,-0.2457567185289957,78139448.86258554,-0.8440239963082603,11102968374.329573,0.1226507713884993,1133022008.5074904,-0.2272153894670451,4829156648.788608,-0.037328909166321,6252542999.815055,0.2883955792682927
PLKRKGL00012,2022,-0.2841269694698586,,12.0,0.0,33.0,3.0,2.0,0.0,150738625.85537267,0.1323276071659292,-3922230.4420196046,-4.23408311094167,5318568.522285926,-0.3810433425704216,-0.5525245052709451,-4.22972972972973,4133299.426669133,-0.4467960023515579,2104216.7560569635,-0.570214373406365,86379692.99056779,-0.1025464886702631,6391714.44423895,0.282315291498539,59333271.68485297,-0.0905186466144098,27046421.305714816,-0.1278495922231665
PLKRKGL00012,2021,-0.2948750098734506,-0.2841269694698586,12.0,0.0,33.0,3.0,2.0,0.0,133122803.772887,0.5155014685601794,1212779.7299796562,-0.5308531568592381,8592796.375069356,-0.0682125846076711,0.17107453301276124,-0.5256410256410257,7471564.638431664,-0.3214855559287873,4895968.189384132,5.687085569940006,96249768.81819864,0.1982259930582337,4984510.819308304,-0.6169316869503421,65238579.61901239,0.3081526601489887,31011189.199186243,0.0182251539004561
FI0009008924,2023,-0.3089982776382393,,3.0,6.0,12.0,3.0,2.0,3.0,272568000.0,0.22633462969417842,-10429000.0,0.2668853255587949,8422000.0,-1.8378432152805413,0.0,0.0,22700000.0,-6.798212005108557,20698000.0,-6.286845466155811,347698000.0,2.181076284057016,40485000.0,3.08939393939394,268432000.0,10.109676351295423,74597000.0,-0.1238313366220343
FI0009008924,2022,0.0172711408102606,-0.3089982776382393,3.0,6.0,12.0,3.0,2.0,3.0,0.0,-1.0,-8232000.0,-1.4464225189575015,-10052000.0,-1.4950432635899522,0.0,0.0,-3915000.0,-0.6017240921521945,-3915000.0,-0.6032748520944807,109302000.0,-0.0365812485086233,9900000.0,0.8,24162000.0,0.2084034301012984,85140000.0,-0.0889951967983306
DE0006578008,2023,0.0773809519585838,,5.0,14.0,9.0,3.0,2.0,3.0,224677000.0,0.0679935162782296,4275000.0,14.10600706713781,10939000.0,0.3832827516439049,0.0,0.0,16657000.0,-1.7554880261248185,13917000.0,-1.5392722904638276,237454000.0,-0.0651932570645712,0.0,-1.0,142482000.0,-0.1184026531698202,94470000.0,0.0279763653576208
DE0006578008,2022,-0.157068040606804,0.0773809519585838,5.0,14.0,9.0,3.0,2.0,3.0,210373000.0,-0.0702115716943856,283000.0,-1.2484635645302895,7908000.0,0.8945855294681361,0.0,0.0,-22048000.0,0.7499801571553298,-25807000.0,0.7410105916481144,254014000.0,-0.1635994850164142,25000000.0,0.0,161618000.0,-0.24120511002709,91899000.0,0.0188133300813729
DE0006578008,2021,0.1529411665708552,-0.157068040606804,5.0,14.0,9.0,3.0,2.0,3.0,226259000.0,0.4961646806766032,-1139000.0,-0.8569634559839256,4174000.0,-3.421113689095128,0.0,0.0,-12599000.0,0.0769296521070176,-14823000.0,0.1020817843866171,303699000.0,0.1729317210135832,0.0,0.0,212993000.0,0.2544717793470643,90202000.0,0.0176103608939429
DE000A1X3WW8,2023,-0.3949579798260209,,5.0,1.0,8.0,1.0,1.0,8.0,0.0,0.6740052382801471,91240.0,1.7897021953158443,92458.0,1.7090743942102025,0.215189,1.7896988475050886,-62000.0,-0.7155963302752294,-62000.0,-0.7155963302752294,5663345.0,0.0235472000378814,0.0,0.0,142983.0,0.3756963486794631,5520362.0,0.0168056639729223
DE000A1X3WW8,2022,0.0294117792643141,-0.3949579798260209,5.0,1.0,8.0,1.0,1.0,8.0,0.0,0.6179259063227454,32706.0,-0.865093013058828,34129.0,-0.8603229633975689,0.077137,-0.8650927457859519,-218000.0,0.7868852459016393,-218000.0,0.7868852459016393,5533057.0,-0.0180136241689909,0.0,0.0,103935.0,0.1059306762834983,5429122.0,-0.0201159767483384
DE000A1X3WW8,2021,0.3665420287440222,0.0294117792643141,5.0,1.0,8.0,1.0,1.0,8.0,0.0,0.6236479847597519,242433.7,0.8461654328751333,244342.24,0.8370265493538661,0.571778,0.8461662646790071,-122000.0,0.0166666666666666,-122000.0,0.0166666666666666,5634555.77,0.0195293477877742,0.0,0.0,93979.67,0.1145332179028011,5540576.1,0.0180573758635681
NO0010743545,2022,-0.3057147085215558,,10.0,3.0,26.0,3.0,2.0,8.0,279155591.47246647,0.0261196294851693,21893660.567623835,-0.3516463506630665,62704074.910183325,-0.1739287917133893,0.5384608627671442,-0.3520084566596195,48123731.80608382,-0.1867980008935715,37647549.69563346,-0.2624323035965354,306204334.0389835,-0.0138343521487915,45821526.13687271,0.1550346745551648,194350465.11423627,-0.0262375889021899,111853868.92474724,0.0084852343933144
